start,end,duration
2017-10-10 12:50:00,2017-10-10 13:00:00,0 days 00:10:00
2017-10-10 13:05:00,2017-10-10 13:10:00,0 days 00:05:00
2017-10-10 13:25:00,2017-10-10 15:05:00,0 days 01:40:00
2017-10-10 15:15:00,2017-10-10 16:05:00,0 days 00:50:00
2017-10-10 16:15:00,2017-10-10 16:25:00,0 days 00:10:00
2017-10-10 16:35:00,2017-10-11 01:50:00,0 days 09:15:00
2017-10-11 02:00:00,2017-10-11 02:10:00,0 days 00:10:00
2017-10-11 02:15:00,2017-10-11 04:15:00,0 days 02:00:00
2017-10-11 04:30:00,2017-10-11 04:35:00,0 days 00:05:00
2017-10-11 04:40:00,2017-10-11 06:30:00,0 days 01:50:00
